time	V(vout)
9.311540728486608e-003	-1.307363e-004
9.334192672072148e-003	-1.393225e-004
9.361204538984164e-003	-1.496651e-004
9.389348465405194e-003	-1.605471e-004
9.426080910978105e-003	-1.748974e-004
9.470786398950007e-003	-1.925762e-004
9.534469767993895e-003	-2.181426e-004
9.585704644694526e-003	-2.393220e-004
9.637171854138194e-003	-2.622369e-004
9.692799195289384e-003	-2.921237e-004
9.762010458567652e-003	-3.440710e-004
9.831348893232799e-003	-4.145471e-004
9.841483761705499e-003	-4.277325e-004
9.861753498650899e-003	-4.589239e-004
9.902292972541698e-003	-5.259918e-004
9.912427841014398e-003	-5.437095e-004
9.932697577959799e-003	-5.804064e-004
9.973237051850598e-003	-6.538627e-004
1.001104988365024e-002	-7.211335e-004
1.005109895829981e-002	-7.899241e-004
1.013119710759893e-002	-9.226348e-004
1.020670175041924e-002	-1.044364e-003
1.028149849981947e-002	-1.162487e-003
1.037063091629005e-002	-1.301126e-003
1.045236078964432e-002	-1.426331e-003
1.054753653568516e-002	-1.569717e-003
1.064478964292846e-002	-1.713384e-003
1.076808995427672e-002	-1.891478e-003
1.090799532713746e-002	-2.088958e-003
1.106132632615838e-002	-2.300554e-003
1.122852401575386e-002	-2.526379e-003
1.138455255898898e-002	-2.732574e-003
1.154358824863706e-002	-2.938105e-003
1.169843159947531e-002	-3.133746e-003
1.185994896111724e-002	-3.333119e-003
1.202152525402007e-002	-3.527864e-003
1.218084721293942e-002	-3.715247e-003
1.233750268272743e-002	-3.894968e-003
1.249405080758142e-002	-4.070080e-003
1.265077795216697e-002	-4.240915e-003
1.280895733845992e-002	-4.408794e-003
1.296897086004910e-002	-4.573976e-003
1.313287005030745e-002	-4.738322e-003
1.330276631457827e-002	-4.903493e-003
1.348284088457021e-002	-5.072773e-003
1.367845486986647e-002	-5.249888e-003
1.389837010723629e-002	-5.440518e-003
1.415716072691148e-002	-5.653171e-003
1.448301410515173e-002	-5.902779e-003
1.491600190368248e-002	-6.201885e-003
1.557429361012275e-002	-6.595281e-003
1.624128073777881e-002	-6.927102e-003
1.673171662757787e-002	-7.124433e-003
1.706463358098510e-002	-7.233378e-003
1.728232541015600e-002	-7.294410e-003
1.731309183373936e-002	-7.302173e-003
1.737462468090607e-002	-7.316554e-003
1.749769037523950e-002	-7.343373e-003
1.765254393633549e-002	-7.374737e-003
1.767092648605486e-002	-7.378197e-003
1.770769158549361e-002	-7.384699e-003
1.776377620305335e-002	-7.394336e-003
1.777236379749234e-002	-7.395768e-003
1.778953898637032e-002	-7.398570e-003
1.779383278358982e-002	-7.399264e-003
1.780242037802881e-002	-7.400633e-003
1.781959556690679e-002	-7.403349e-003
1.782264762751679e-002	-7.403827e-003
1.782341064266929e-002	-7.403946e-003
1.782493667297429e-002	-7.404184e-003
1.782798873358429e-002	-7.404657e-003
1.783409285480429e-002	-7.405599e-003
1.784255151475113e-002	-7.406891e-003
1.785946883464480e-002	-7.409541e-003
1.788478378257773e-002	-7.415043e-003
1.792517106625306e-002	-7.433091e-003
1.796970511216069e-002	-7.480187e-003
1.802581615334168e-002	-7.603469e-003
1.809426724360150e-002	-7.863701e-003
1.819995903526597e-002	-8.410703e-003
1.830713156054379e-002	-9.008590e-003
1.842144563121399e-002	-9.614715e-003
1.843300548902009e-002	-9.670313e-003
1.845612520463228e-002	-9.774035e-003
1.846190513353533e-002	-9.799307e-003
1.847346499134143e-002	-9.848309e-003
1.849658470695363e-002	-9.942622e-003
1.852806909137404e-002	-1.006359e-002
1.856055730123211e-002	-1.017873e-002
1.859978870084860e-002	-1.030421e-002
1.866709434443094e-002	-1.049631e-002
1.874760051895398e-002	-1.070178e-002
1.882454414779140e-002	-1.087887e-002
1.890458087976412e-002	-1.104781e-002
1.899088071221285e-002	-1.121788e-002
1.907878441370080e-002	-1.138165e-002
1.917555444750812e-002	-1.155374e-002
1.928652224522755e-002	-1.174391e-002
1.942027280225982e-002	-1.196650e-002
1.958749123285456e-002	-1.223819e-002
1.973454696001720e-002	-1.247234e-002
1.980220815286706e-002	-1.257840e-002
1.981912345107953e-002	-1.260463e-002
1.985295404750447e-002	-1.265673e-002
1.991329022108434e-002	-1.274914e-002
1.993779010526839e-002	-1.278645e-002
1.995776039965621e-002	-1.281673e-002
1.996275297325317e-002	-1.282428e-002
1.997273812044708e-002	-1.283936e-002
1.998790122821624e-002	-1.286220e-002
2.000777028303672e-002	-1.289220e-002
2.002926825674646e-002	-1.292623e-002
2.006558579895345e-002	-1.299447e-002
2.011044502001215e-002	-1.311400e-002
2.016396207525844e-002	-1.333922e-002
2.023116069227203e-002	-1.377578e-002
2.032900791867761e-002	-1.461986e-002
2.042957453378850e-002	-1.557563e-002
2.054591704499841e-002	-1.666013e-002
2.055581856434381e-002	-1.674604e-002
2.057562160303461e-002	-1.690641e-002
2.061522768041623e-002	-1.721712e-002
2.062249268431215e-002	-1.727233e-002
2.063702269210399e-002	-1.737872e-002
2.066608270768768e-002	-1.758254e-002
2.070407469499124e-002	-1.783277e-002
2.074565694601236e-002	-1.808660e-002
2.078807406574644e-002	-1.832358e-002
2.087290830521460e-002	-1.875763e-002
2.095435544301288e-002	-1.914360e-002
2.103110669619531e-002	-1.948319e-002
2.111752821509239e-002	-1.984644e-002
2.120060787033199e-002	-2.018201e-002
2.129773266777303e-002	-2.056221e-002
2.140009547203425e-002	-2.095366e-002
2.152928029896478e-002	-2.143941e-002
2.168017656627855e-002	-2.199992e-002
2.186893685543211e-002	-2.269347e-002
2.204531887668063e-002	-2.333437e-002
2.220941049192112e-002	-2.392386e-002
2.236828533841842e-002	-2.448823e-002
2.253972932103947e-002	-2.509054e-002
2.269793134510354e-002	-2.564015e-002
2.285957706485316e-002	-2.619546e-002
2.301360267342330e-002	-2.671872e-002
2.317240862660789e-002	-2.725219e-002
2.332733177639911e-002	-2.776675e-002
2.348662682802740e-002	-2.828976e-002
2.364454918605958e-002	-2.880220e-002
2.380822037250676e-002	-2.932686e-002
2.397490105720104e-002	-2.985444e-002
2.415233809312898e-002	-3.040856e-002
2.434154741278648e-002	-3.099087e-002
2.455380559334693e-002	-3.163349e-002
2.479648895431513e-002	-3.235421e-002
2.510009914391530e-002	-3.323456e-002
2.549058970986167e-002	-3.433089e-002
2.605640206365364e-002	-3.585968e-002
2.651766009445269e-002	-3.705668e-002
2.683587211015270e-002	-3.785215e-002
2.703469010165150e-002	-3.833575e-002
2.714540577696779e-002	-3.859987e-002
2.727287953910124e-002	-3.890004e-002
2.733214876570233e-002	-3.903820e-002
2.741650860547087e-002	-3.923324e-002
2.745328158186746e-002	-3.931782e-002
2.746247482596661e-002	-3.933888e-002
2.748086131416490e-002	-3.938092e-002
2.748545793621447e-002	-3.939142e-002
2.749465118031362e-002	-3.941239e-002
2.749694949133841e-002	-3.941764e-002
2.750154611338798e-002	-3.942811e-002
2.751073935748713e-002	-3.944905e-002
2.751303766851192e-002	-3.945429e-002
2.751361224626811e-002	-3.945559e-002
2.751476140178051e-002	-3.945821e-002
2.751705971280529e-002	-3.946344e-002
2.752165633485487e-002	-3.947389e-002
2.752970063737460e-002	-3.949217e-002
2.754296567851972e-002	-3.952227e-002
2.756648803317761e-002	-3.957561e-002
2.760024090377862e-002	-3.965381e-002
2.764622809458563e-002	-3.977121e-002
2.769591526122929e-002	-3.993093e-002
2.776079046257948e-002	-4.021165e-002
