time	V(vin)	V(vout)
8.327787162016452e-003	-9.908090e-001	-3.430986e-004
8.355180412706241e-003	-9.907786e-001	-3.657385e-004
8.386656433635949e-003	-9.907438e-001	-3.919032e-004
8.427423675661962e-003	-9.906985e-001	-4.260475e-004
8.479199743202544e-003	-9.906411e-001	-4.698463e-004
8.541451049107271e-003	-9.905721e-001	-5.232337e-004
8.592470178162816e-003	-9.905155e-001	-5.683037e-004
8.651380216556870e-003	-9.904502e-001	-6.240155e-004
8.708128375388275e-003	-9.903873e-001	-6.874033e-004
8.784589750531060e-003	-9.903024e-001	-7.994776e-004
8.868744606152489e-003	-9.902090e-001	-9.542087e-004
8.878312343518990e-003	-9.901984e-001	-9.746347e-004
8.897447818251993e-003	-9.901772e-001	-1.018507e-003
8.935718767718001e-003	-9.901348e-001	-1.106542e-003
8.979062446441279e-003	-9.900867e-001	-1.204369e-003
9.026643337890494e-003	-9.900339e-001	-1.307715e-003
9.071315208933917e-003	-9.899843e-001	-1.400051e-003
9.160658951020763e-003	-9.898852e-001	-1.577837e-003
9.172601453198861e-003	-9.898719e-001	-1.601013e-003
9.196486457555058e-003	-9.898454e-001	-1.646433e-003
9.244256466267453e-003	-9.897924e-001	-1.736471e-003
9.266304584772468e-003	-9.897679e-001	-1.777706e-003
9.266993588475750e-003	-9.897672e-001	-1.778988e-003
9.268371595882313e-003	-9.897656e-001	-1.781547e-003
9.271127610695439e-003	-9.897626e-001	-1.786661e-003
9.271816614398722e-003	-9.897618e-001	-1.787939e-003
9.273194621805285e-003	-9.897603e-001	-1.790493e-003
9.275950636618411e-003	-9.897572e-001	-1.795599e-003
9.281462666244664e-003	-9.897511e-001	-1.805797e-003
9.289717550993948e-003	-9.897419e-001	-1.821037e-003
9.306227320492515e-003	-9.897236e-001	-1.851413e-003
9.330576360408740e-003	-9.896966e-001	-1.896022e-003
9.353197343347046e-003	-9.896715e-001	-1.937260e-003
9.380175684289267e-003	-9.896415e-001	-1.986197e-003
