neuron,bounded,uniform,pure
2,0.9593315774727182,0.8547400434331982,0.9651473703729353
4,0.9849037842643531,0.968634737940815,0.9918352406541978
6,0.9719380832529295,1.0030729136974206,0.9951559548069503
8,0.9655606877525389,0.9893306925082941,0.9886395346774953
