time	V(vin)	V(n024)
0.000000000000000e+000	0.000000e+000	1.902876e-009
1.462857101484718e-007	1.838280e-006	1.902876e-009
2.925714202969436e-007	3.676561e-006	1.902876e-009
4.388571304454154e-007	5.514841e-006	1.902876e-009
5.851428405938872e-007	7.353122e-006	1.902876e-009
7.314285507423590e-007	9.191402e-006	1.902876e-009
8.777142608908308e-007	1.102968e-005	1.902876e-009
1.023999971039302e-006	1.286796e-005	1.902876e-009
4.095999884157209e-006	5.147185e-005	1.902885e-009
1.638399953662884e-005	2.058874e-004	1.902967e-009
3.276799907325767e-005	4.117748e-004	1.903079e-009
6.553599814651534e-005	8.235496e-004	1.903302e-009
1.310719962930307e-004	1.647099e-003	1.903748e-009
2.621439925860614e-004	3.294193e-003	1.904643e-009
4.234669383232785e-004	5.321417e-003	1.905745e-009
5.862210351614064e-004	7.366604e-003	1.906859e-009
7.462329592425429e-004	9.377303e-003	1.907955e-009
9.311010549576200e-004	1.170029e-002	1.909224e-009
1.192583407264194e-003	1.498588e-002	1.911023e-009
1.659262673979031e-003	2.084940e-002	1.914245e-009
2.106420968233611e-003	2.646697e-002	1.917352e-009
2.624335679773934e-003	3.297240e-002	1.920986e-009
3.190912147381030e-003	4.008744e-002	1.925027e-009
3.981438246823813e-003	5.001136e-002	1.930828e-009
4.958000746823813e-003	6.226378e-002	1.938322e-009
5.934563246823813e-003	7.450681e-002	1.946297e-009
6.911125746823813e-003	8.673863e-002	1.954899e-009
7.887688246823812e-003	9.895739e-002	1.964242e-009
8.864250746823812e-003	1.111612e-001	1.974423e-009
9.840813246823812e-003	1.233484e-001	1.985524e-009
1.081737574682381e-002	1.355169e-001	1.997624e-009
1.277050074682381e-002	1.597909e-001	2.025140e-009
1.570018824682381e-002	1.960169e-001	2.076177e-009
1.765331324682381e-002	2.200230e-001	2.118320e-009
1.960643824682381e-002	2.438966e-001	2.168952e-009
2.058300074682381e-002	2.557792e-001	2.198262e-009
2.155956324682381e-002	2.676232e-001	2.230848e-009
2.253612574682381e-002	2.794270e-001	2.267346e-009
2.351268824682381e-002	2.911887e-001	2.308615e-009
2.448925074682381e-002	3.029065e-001	2.355853e-009
2.546581324682381e-002	3.145787e-001	2.410798e-009
2.644237574682381e-002	3.262036e-001	2.476067e-009
2.741893824682381e-002	3.377793e-001	2.555767e-009
2.839550074682381e-002	3.493042e-001	2.656655e-009
2.937206324682381e-002	3.607764e-001	2.790664e-009
3.034862574682381e-002	3.721943e-001	2.981073e-009
3.132518824682382e-002	3.835562e-001	3.262511e-009
3.204642566376489e-002	3.919105e-001	3.575020e-009
3.256945858607217e-002	3.979488e-001	3.912540e-009
3.296202691611370e-002	4.024697e-001	4.280047e-009
3.326791109079304e-002	4.059855e-001	4.688119e-009
3.350601966221910e-002	4.087181e-001	5.137144e-009
3.368759433756928e-002	4.107995e-001	5.615156e-009
3.381400048501403e-002	4.122472e-001	6.082396e-009
3.392668805730123e-002	4.135370e-001	6.628098e-009
3.394888623125337e-002	4.137909e-001	6.766078e-009
3.399328257915765e-002	4.142987e-001	7.134516e-009
3.408207527496620e-002	4.153140e-001	8.047254e-009
3.409282789432990e-002	4.154370e-001	8.190505e-009
3.411433313305731e-002	4.156828e-001	8.587380e-009
3.415734361051211e-002	4.161743e-001	9.683617e-009
