time,VIN,VOUT
0.0,0.0,7.611439071387441e-09
9.999999717180685e-10,1.256637025895794e-08,7.611439069347528e-09
1.999999943436137e-09,2.513274051791588e-08,7.611439070967945e-09
3.999999886872274e-09,5.026548103583174e-08,7.611439015832696e-09
7.999999773744548e-09,1.005309620716634e-07,7.611439056458214e-09
1.59999995474891e-08,2.010619241433257e-07,7.611439014260923e-09
3.199999909497819e-08,4.021238482866432e-07,7.611439042657728e-09
6.399999818995639e-08,8.042476965732215e-07,7.61143904185443e-09
1.279999963799128e-07,1.608495393145923e-06,7.611439048815662e-09
2.559999927598256e-07,3.216990786287684e-06,7.611439064447212e-09
5.119999855196511e-07,6.433981572542075e-06,7.61143908704742e-09
1.023999971039302e-06,1.286796314481781e-05,7.6114390549385e-09
2.047999942078604e-06,2.573592628750488e-05,7.611439730170492e-09
4.095999884157209e-06,5.147185255796389e-05,7.61145442045545e-09
8.191999768314417e-06,0.0001029437049795607,7.611534540030298e-09
1.638399953662884e-05,0.0002058874088681852,7.611720783850148e-09
3.276799907325767e-05,0.0004117748090088802,7.612076655722751e-09
6.553599814651534e-05,0.0008235495481978412,7.612799868156724e-09
0.0001310719962930307,0.0016470985378364,7.614238259605686e-09
0.0002621439925860614,0.003294192607200815,7.617142554355494e-09
0.0004186202490755104,0.005260512933896887,7.620591430330746e-09
0.0005780678778973645,0.007264151306736084,7.624127344618981e-09
0.0007326716403575334,0.009206893293125198,7.627536081528924e-09
0.000904483114198611,0.01136582530324431,7.631353878058137e-09
0.001123977180969883,0.01412384419824941,7.636215098726114e-09
0.001482829481058356,0.01863270650487862,7.644205589461917e-09
0.001927734212165762,0.02422225332692419,7.65415220163215e-09
0.002396452750316622,0.03011016180799761,7.664741930193106e-09
0.002936936510187339,0.03689825481059186,7.677131964713379e-09
0.003610635125300493,0.0453570128717873,7.693061099780484e-09
0.004570094720967822,0.05739794071191439,7.717243296591005e-09
0.005546657220967822,0.06964492592531243,7.744702667799576e-09
0.006523219720967822,0.0818814228690403,7.776431892459496e-09
0.007499782220967822,0.09410558877166762,7.814190850633397e-09
0.008476344720967822,0.1063155827187735,7.860230278272877e-09
0.009452907220967822,0.1185095659301814,7.917961913416128e-09
0.01042946972096782,0.1306857020368726,7.99316424215233e-09
0.01124267746353667,0.1408101316342938,8.076362395631671e-09
0.01193629207010858,0.1494340487629569,8.171303581002388e-09
0.01253862611884983,0.1569138607601119,8.283149817219604e-09
0.01306620962171286,0.1634580459627965,8.418680438125307e-09
0.01352185051134904,0.1691040782380806,8.584152183849148e-09
0.01390783321972063,0.1738826175375466,8.786297946195796e-09
0.01422796489122176,0.1778428098519588,9.034051502780088e-09
0.01448999393929905,0.1810821039255518,9.338764098653415e-09
0.01469721519575832,0.1836424564974917,9.70925684238244e-09
0.01485141138030004,0.1855468429277895,1.01372767698697e-08
0.01493036828703748,0.186521724021842,1.044898636531583e-08
0.01504258290669512,0.187906922005019,1.113967391041838e-08
0.01506124726558788,0.1881372821291424,1.130417093442522e-08
0.0150985759833734,0.1885979713161193,1.168853772015005e-08
0.01514445751385794,0.1891641574495524,1.23768411500433e-08
0.01515333883243137,0.1892737472200339,1.255780318958393e-08
0.01517110146957824,0.1894929196869153,1.29767011627561e-08
0.01517554212886496,0.1895477113288733,1.310596650870054e-08
0.01518442344743839,0.1896572928418802,1.339016951785321e-08
0.01518664377708175,0.1896846878510681,1.347215683597937e-08
0.01519108443636847,0.1897394774264181,1.364670744408913e-08
0.01519219460119015,0.189753174727943,1.369467212915334e-08
0.01519441493083351,0.189780569220199,1.379437615849346e-08
0.01519885559012022,0.1898353577614611,1.403929230637666e-08
0.01520717566677515,0.1899380086892572,1.482928744255966e-08
0.01522074673227237,0.1901054404869431,1.712690390515638e-08
0.01523511825001631,0.1902827417642647,2.088397488480344e-08
0.0152571449431954,0.1905544728205929,2.986421237251443e-08
0.01528105784612076,0.1908494564679432,4.479317071237232e-08
0.01530784415683066,0.1911798652965238,6.81204766793578e-08
0.0153375257463001,0.1915459620530768,1.005187085990597e-07
0.01537454168391181,0.192002484311185,1.47329153319561e-07
0.01541523379070576,0.1925042972895641,2.085781806587072e-07
0.01545929555355955,0.1930476079287334,3.151877444428493e-07
0.01550841752273893,0.1936532444764843,5.740370690404597e-07
0.01556304962316066,0.1943267300749237,1.211071999905517e-06
0.0156175393090592,0.1949983688045819,2.273780747974703e-06
0.01567723445072189,0.1957340649151663,3.640037995540062e-06
0.01576036765416219,0.1967584332817594,6.753651250181059e-06
0.01583982539168025,0.1977373118231526,1.360984121067464e-05
0.01584834187365353,0.1978422188293488,1.473022318939355e-05
0.0158653748376001,0.1980520260425513,1.704624012519619e-05
0.01589944076549323,0.1984716132385547,2.221631573768669e-05
0.01593744596999927,0.1989396772496962,2.86923159578024e-05
0.01597329880731006,0.1993811915721656,3.529126621759381e-05
0.01604500448193164,0.2002640987125251,4.938328903301598e-05
0.0161200923629218,0.2011884764310761,6.489337638385593e-05
0.01619526620610244,0.202113732961113,8.077774473120844e-05
0.01627617098045737,0.2031093255415534,9.801531307705308e-05
0.01636231349487157,0.2041691415616409,0.0001163389254092216
0.01645023659679948,0.2052506175223875,0.000134868878431408
0.01654621087693085,0.2064308389005486,0.0001548367489851775
0.01665594463250459,0.2077798962038377,0.0001773063077357863
0.01678701839609716,0.209390787682517,0.0002037296978072953
0.01694903790372564,0.2113812155901667,0.0002359872421206605
0.01715982436972313,0.2139694382977798,0.0002775704781653538
0.01733555840785089,0.216126109510224,0.0003119242427528108
