time VIN VOUT
0.0 0.0 1.902876108448189e-09
9.999999717180685e-10 1.256637025895794e-08 1.902876090390709e-09
1.999999943436137e-09 2.513274051791588e-08 1.902876090396495e-09
3.999999886872274e-09 5.026548103583174e-08 1.90287603607685e-09
7.999999773744548e-09 1.005309620716634e-07 1.902876071394093e-09
1.59999995474891e-08 2.010619241433257e-07 1.902876068328121e-09
3.199999909497819e-08 4.021238482866432e-07 1.902876102371047e-09
6.399999818995639e-08 8.042476965732215e-07 1.902876107089316e-09
1.279999963799128e-07 1.608495393145923e-06 1.902876105541492e-09
2.559999927598256e-07 3.216990786287684e-06 1.902876105913663e-09
5.119999855196511e-07 6.433981572542075e-06 1.902876076071825e-09
1.023999971039302e-06 1.286796314481781e-05 1.902876058081096e-09
2.047999942078604e-06 2.573592628750488e-05 1.902876484142958e-09
4.095999884157209e-06 5.147185255796389e-05 1.902882727606345e-09
8.191999768314417e-06 0.0001029437049795607 1.902907747746776e-09
1.638399953662884e-05 0.0002058874088681852 1.902952477730211e-09
3.276799907325767e-05 0.0004117748090088802 1.903042369916584e-09
6.553599814651534e-05 0.0008235495481978412 1.903222607415843e-09
0.0001310719962930307 0.0016470985378364 1.903584071398355e-09
0.0002621439925860614 0.003294192607200815 1.904311462546026e-09
0.0004204323697636256 0.005283284397611918 1.905188623853783e-09
0.000581564305286325 0.007308087542848721 1.906089796537994e-09
0.0007392582810151474 0.009289659920941173 1.906970847656111e-09
0.0009164587387007751 0.01151630558918523 1.907969483590517e-09
0.001149575539370713 0.01444548983445133 1.909284423400742e-09
0.001562690152189186 0.01963608152285141 1.91164285677752e-09
0.002056910111081339 0.02584501665046906 1.914503071280283e-09
0.002583165064138422 0.03245530906733996 1.917617943676813e-09
0.003178723469510699 0.03993439530502561 1.921249519206012e-09
0.003939262316881229 0.04948201540313599 1.926136628085759e-09
0.004915824816881229 0.0617347953310915 1.933013662636749e-09
0.005892387316881229 0.07397827822594857 1.94087044844192e-09
0.006868949816881229 0.08621062026421832 1.950073405471627e-09
0.007845512316881229 0.09842997930018384 1.961053528130898e-09
0.008822074816881229 0.1106345151433207 1.974287344940659e-09
0.009798637316881229 0.1228223898354227 1.990384784662302e-09
0.01077519981688123 0.1349917679273917 2.010152743108991e-09
0.01175176231688123 0.1471408167556496 2.034793987811495e-09
0.01272832481688123 0.1592677067181306 2.066194839213522e-09
0.01370488731688123 0.1713706115498125 2.107552142273852e-09
0.01468144981688123 0.1834477085977456 2.164548945846961e-09
0.01565801231688123 0.1954971790955376 2.24810225031955e-09
0.01649586528524727 0.2058117630350964 2.356916446141016e-09
0.01718528346610528 0.2142819463536987 2.492797484477795e-09
0.01775321640045237 0.2212475097877096 2.660793170187797e-09
0.01821776013028574 0.2269366663799994 2.865830592148217e-09
0.01859790076644017 0.2315864135844963 3.114875012445956e-09
0.01890792088356353 0.235374563580057 3.418399634799023e-09
0.01915805795969611 0.2384283986801491 3.785792903583285e-09
0.01935243281026531 0.2407998274733989 4.21813179471304e-09
0.01949105512804068 0.2424901825941625 4.676961629400979e-09
0.01951295698176361 0.2427571857594876 4.772439057042071e-09
0.01955676068920947 0.2432911369034909 4.978388569412953e-09
0.01964436810410121 0.2443588178786865 5.521926496775279e-09
0.0197350436132128 0.2454635781302841 6.464572960839345e-09
0.01974958655426077 0.2456407348689765 6.68766727552702e-09
0.01977867243635671 0.2459950237285041 7.221060077057061e-09
0.01978594390688069 0.2460835908103518 7.391905380376407e-09
0.01980048684792866 0.2462607188092297 7.776514489115588e-09
0.01980412258319065 0.2463049995240729 7.891226716756494e-09
0.01981139405371463 0.246393559411261 8.139370472275566e-09
0.01981321192134563 0.2464156990616367 8.209237720815096e-09
0.01981684765660762 0.2464599779766019 8.356010244161162e-09
0.01982411912713161 0.2465485342630633 8.713677804097563e-09
0.01983636821429408 0.2466977062660392 9.850063229260443e-09
0.01984850590285456 0.2468455158674182 1.198987235546051e-08
0.01986725005181142 0.2470737659349769 1.732207895447229e-08
0.01988701845250151 0.2473144736036626 2.604009910729377e-08
0.01991447662992567 0.2476487896335612 4.448874585532059e-08
0.01993958477773581 0.2479544671576358 6.755137737182033e-08
0.01997264660256776 0.2483569385521382 1.052127999709073e-07
0.02000922767431295 0.2488022008223498 1.529343718894652e-07
0.02005354211956919 0.2493415227472653 2.256869869259111e-07
0.02009793880608083 0.2498817680385106 3.57015800183932e-07
0.02015043089590226 0.2505204226556191 7.035253559765458e-07
0.02020569515010467 0.251192687519558 1.500523388587459e-06
0.02025936210508281 0.2518454060118238 2.658544505609287e-06
0.02032572230941112 0.2526523463499867 4.475850852162285e-06
0.02039358350769294 0.2534773570753929 7.995341860205394e-06
0.02045584968901655 0.2542341852066556 1.498997533739259e-05
0.02046237022140106 0.2543134314703426 1.602681614903357e-05
0.02047541128617008 0.2544719188747501 1.822052295780752e-05
0.0205014934157081 0.2547888731768028 2.32740694969346e-05
0.02053450988817714 0.2551900554899814 3.0722597304807e-05
0.02056931331368922 0.2556129034635816 3.978650019819558e-05
0.02060813608856894 0.2560845272635502 5.118315153930946e-05
0.02068578163832838 0.2570275919002005 7.761773414615398e-05
0.02077308413399148 0.2580876552500093 0.0001123402574851443
0.02085139031687445 0.2590382173886722 0.0001471000019793167
0.02093964745277592 0.2601092738645101 0.000189141506694992
0.02101993223278961 0.2610833028668664 0.0002290938045762135
0.02111410103364398 0.2622254365135726 0.0002770351028717284
0.02120941400692951 0.2633810734137336 0.0003259084175783696
0.0213303951762359 0.2648473839432697 0.0003877063038328746
