time,V(spikes1),V(spikes2),V(spikes3),V(spikes4),V(spikes5),V(spikes6),V(spikes7),V(spikes8)
1.310719962930307e-004,3.153489e-007,3.158386e-007,3.163336e-007,3.168339e-007,3.151508e-007,3.156389e-007,3.161321e-007,3.166307e-007
2.621439925860614e-004,8.102573e-007,8.184130e-007,8.267077e-007,8.351441e-007,8.067649e-007,8.148714e-007,8.231162e-007,8.315019e-007
4.185998722888974e-004,2.769361e-006,2.819169e-006,2.870127e-006,2.922263e-006,2.746998e-006,2.796377e-006,2.846894e-006,2.898582e-006
5.768270004751282e-004,7.485093e-006,7.663478e-006,7.847018e-006,8.035881e-006,7.401484e-006,7.577845e-006,7.759304e-006,7.946028e-006
7.287821704596533e-004,1.606989e-005,1.654204e-005,1.703085e-005,1.753701e-005,1.583829e-005,1.630356e-005,1.678527e-005,1.728406e-005
8.990973269136004e-004,3.183631e-005,3.298391e-005,3.418152e-005,3.543171e-005,3.124070e-005,3.236645e-005,3.354126e-005,3.476760e-005
1.119461929335653e-003,6.290825e-005,6.578374e-005,6.882227e-005,7.203493e-005,6.128727e-005,6.408518e-005,6.704148e-005,7.016696e-005
1.477306988831802e-003,1.335675e-004,1.415750e-004,1.501906e-004,1.594710e-004,1.285476e-004,1.362344e-004,1.445033e-004,1.534080e-004
1.916138884995865e-003,2.430374e-004,2.613745e-004,2.814954e-004,3.036165e-004,2.303475e-004,2.476537e-004,2.666343e-004,2.874911e-004
2.383728129574264e-003,3.761315e-004,4.107824e-004,4.496562e-004,4.934113e-004,3.497906e-004,3.817801e-004,4.176302e-004,4.579358e-004
2.929222771114323e-003,5.365827e-004,5.968680e-004,6.664525e-004,7.472406e-004,4.859589e-004,5.398387e-004,6.018814e-004,6.737211e-004
3.601769326110412e-003,7.244201e-004,8.244529e-004,9.445366e-004,1.090338e-003,6.309868e-004,7.159318e-004,8.172975e-004,9.394994e-004
4.538539830873110e-003,9.579252e-004,1.123751e-003,1.334097e-003,1.606851e-003,7.849263e-004,9.146596e-004,1.077024e-003,1.284032e-003
5.515102330873110e-003,1.166578e-003,1.410327e-003,1.738492e-003,2.197528e-003,8.902689e-004,1.062976e-003,1.289643e-003,1.596144e-003
6.491664830873110e-003,1.343964e-003,1.673937e-003,2.148468e-003,2.875775e-003,9.467916e-004,1.154571e-003,1.440302e-003,1.851235e-003
7.468227330873110e-003,1.499191e-003,1.923491e-003,2.580486e-003,3.707473e-003,9.680255e-004,1.201004e-003,1.535882e-003,2.048903e-003
8.444789830873111e-003,1.639918e-003,2.167847e-003,3.057009e-003,4.802682e-003,9.650431e-004,1.213180e-003,1.584538e-003,2.190506e-003
9.421352330873111e-003,1.771965e-003,2.415237e-003,3.609707e-003,6.335702e-003,9.460733e-004,1.200322e-003,1.594463e-003,2.278204e-003
1.039791483087311e-002,1.899993e-003,2.674007e-003,4.287063e-003,8.600337e-003,9.172965e-004,1.170264e-003,1.573953e-003,2.315521e-003
1.137447733087311e-002,2.027562e-003,2.952986e-003,5.162443e-003,1.217100e-002,8.828901e-004,1.129007e-003,1.530538e-003,2.306935e-003
1.235103983087311e-002,2.157203e-003,3.259632e-003,6.311887e-003,1.799090e-002,8.456582e-004,1.081183e-003,1.471380e-003,2.259881e-003
1.309096739799698e-002,2.258110e-003,3.516554e-003,7.436497e-003,2.523417e-002,8.165975e-004,1.042417e-003,1.419201e-003,2.202072e-003
1.360285743263685e-002,2.330014e-003,3.711897e-003,8.406384e-003,3.334067e-002,7.963625e-004,1.014855e-003,1.380281e-003,2.151476e-003
1.398280784191980e-002,2.384808e-003,3.868787e-003,9.264407e-003,4.273143e-002,7.813913e-004,9.942461e-004,1.350395e-003,2.109071e-003
1.428113080187842e-002,2.428778e-003,4.000094e-003,1.003834e-002,5.391552e-002,7.697024e-004,9.780626e-004,1.326557e-003,2.073398e-003
1.451793789347694e-002,2.464316e-003,4.109947e-003,1.072593e-002,6.721825e-002,7.604772e-004,9.652466e-004,1.307488e-003,2.043820e-003
1.470385778799095e-002,2.492632e-003,4.199989e-003,1.131750e-002,8.270546e-002,7.532721e-004,9.552158e-004,1.292460e-003,2.019916e-003
1.484290529129488e-002,2.514029e-003,4.269398e-003,1.178909e-002,9.839596e-002,7.479043e-004,9.477336e-004,1.281202e-003,2.001720e-003
1.486555969468650e-002,2.517541e-003,4.280949e-003,1.186944e-002,1.016918e-001,7.470321e-004,9.465170e-004,1.279367e-003,1.998723e-003
