time	V(n038)
3.449505087414348e-002	8.645544e-003
3.455082117322066e-002	8.709342e-003
3.459986315990357e-002	8.776922e-003
3.465548588523473e-002	8.881287e-003
3.471111606227789e-002	9.049937e-003
3.478308192448773e-002	9.421510e-003
3.486079104432373e-002	9.988859e-003
3.486523829784033e-002	1.002835e-002
3.487413280487354e-002	1.011392e-002
3.489192181893996e-002	1.028509e-002
3.489636907245656e-002	1.032795e-002
3.490526357948977e-002	1.041294e-002
3.492305259355619e-002	1.057772e-002
3.494941497260244e-002	1.080742e-002
3.497804921951094e-002	1.102835e-002
3.503531771332794e-002	1.139276e-002
3.511171049194656e-002	1.177355e-002
3.519157430875592e-002	1.207677e-002
3.526871390508752e-002	1.230444e-002
3.535681032225664e-002	1.251678e-002
3.543731944900078e-002	1.268222e-002
3.553075824806846e-002	1.285063e-002
3.562882934042127e-002	1.301032e-002
3.575115834609404e-002	1.319443e-002
3.588928442188300e-002	1.339134e-002
3.604268300814276e-002	1.360243e-002
3.620812732055304e-002	1.382459e-002
3.636720938228638e-002	1.403338e-002
3.653133852882843e-002	1.424372e-002
3.669733224661492e-002	1.445128e-002
3.686421886226196e-002	1.465475e-002
3.702300516629997e-002	1.484342e-002
3.718117180868003e-002	1.502652e-002
3.733653373633414e-002	1.520169e-002
3.749351087986825e-002	1.537398e-002
3.764931916959019e-002	1.554030e-002
3.780689145303476e-002	1.570375e-002
3.796480948070113e-002	1.586278e-002
3.812607208166344e-002	1.602041e-002
3.826575641087700e-002	1.615374e-002
3.828602190646663e-002	1.617273e-002
3.832655289764587e-002	1.621030e-002
3.833668564544068e-002	1.621964e-002
3.835695114103030e-002	1.623824e-002
3.839224135746526e-002	1.627051e-002
3.839730280250935e-002	1.627512e-002
3.840742569259752e-002	1.628431e-002
3.841974897962155e-002	1.629547e-002
3.843216743879811e-002	1.630669e-002
3.845056214118260e-002	1.632326e-002
3.847013701447469e-002	1.634096e-002
3.850928676105888e-002	1.637783e-002
3.855282327643260e-002	1.642525e-002
3.860915675759541e-002	1.650497e-002
3.867562995433383e-002	1.663446e-002
3.877913785446226e-002	1.689296e-002
3.888411425895039e-002	1.718871e-002
3.899918614330495e-002	1.752232e-002
3.901200763017173e-002	1.755872e-002
3.903765060390528e-002	1.762996e-002
3.904406134733867e-002	1.764756e-002
3.905688283420545e-002	1.768225e-002
3.908252580793900e-002	1.775018e-002
3.911513012824255e-002	1.783361e-002
3.914781499478301e-002	1.791327e-002
3.918828238598259e-002	1.800580e-002
3.925691613894580e-002	1.815181e-002
3.933528548254678e-002	1.830671e-002
3.941172968647712e-002	1.844754e-002
3.949253185156754e-002	1.858773e-002
3.957892468173289e-002	1.873051e-002
3.966711693010840e-002	1.887066e-002
3.976362979580936e-002	1.901984e-002
3.980241293018536e-002	1.907876e-002
3.982919077551328e-002	1.911906e-002
3.985889762093043e-002	1.916420e-002
3.988692694173847e-002	1.921034e-002
3.992686668569227e-002	1.929160e-002
3.997085087018881e-002	1.942143e-002
4.002811416585058e-002	1.968301e-002
4.009423111536467e-002	2.013269e-002
4.017987743080514e-002	2.089531e-002
4.027800410425535e-002	2.184817e-002
4.039279553004473e-002	2.292241e-002
4.040566452501945e-002	2.303122e-002
4.043140251496888e-002	2.323150e-002
4.043783701245624e-002	2.327992e-002
4.045070600743095e-002	2.337294e-002
4.047644399738038e-002	2.355368e-002
4.048287849486774e-002	2.359762e-002
4.048448711923958e-002	2.360839e-002
4.048770436798325e-002	2.362975e-002
4.049413886547061e-002	2.367171e-002
4.050700786044532e-002	2.375297e-002
4.052785778838349e-002	2.387728e-002
4.056701633018797e-002	2.409084e-002
4.062412883505928e-002	2.436467e-002
4.072987950233906e-002	2.480606e-002
4.080631222127715e-002	2.508925e-002
4.087821738313825e-002	2.533033e-002
4.096345126177241e-002	2.559761e-002
4.104738110104710e-002	2.584734e-002
4.114459720475722e-002	2.612478e-002
4.124703450348807e-002	2.640820e-002
4.137494938035766e-002	2.675422e-002
4.152428362237895e-002	2.715178e-002
4.169489322820287e-002	2.759984e-002
4.185054852419062e-002	2.800303e-002
4.201144337429127e-002	2.841390e-002
