time	V(vin)	V(n032)
2.835424030752060e-002	3.488183e-001	3.213660e-004
2.850912717311677e-002	3.506417e-001	3.392509e-004
2.866689722578817e-002	3.524978e-001	3.571059e-004
2.882339070107189e-002	3.543374e-001	3.744530e-004
2.898347672763405e-002	3.562179e-001	3.918208e-004
2.914511843553776e-002	3.581151e-001	4.089677e-004
2.931331364639736e-002	3.600878e-001	4.263902e-004
2.948848816715980e-002	3.621405e-001	4.440772e-004
2.967756874539376e-002	3.643543e-001	4.626376e-004
2.988491801693736e-002	3.667796e-001	4.823509e-004
3.012232604976261e-002	3.695534e-001	5.040855e-004
3.040516205077954e-002	3.728536e-001	5.287896e-004
3.076282340814691e-002	3.770203e-001	5.581403e-004
3.123514487962375e-002	3.825110e-001	5.935434e-004
3.191770714303188e-002	3.904218e-001	6.389598e-004
3.250498769270854e-002	3.972054e-001	6.728079e-004
3.295506801103300e-002	4.023896e-001	6.949561e-004
3.328947214984229e-002	4.062330e-001	7.091720e-004
3.353762061459094e-002	4.090805e-001	7.184681e-004
3.372031058627482e-002	4.111743e-001	7.247084e-004
3.374905720056356e-002	4.115036e-001	7.256281e-004
3.380655042914105e-002	4.121619e-001	7.273764e-004
3.392153688629603e-002	4.134780e-001	7.307111e-004
3.407014929651297e-002	4.151777e-001	7.348176e-004
3.408719169988166e-002	4.153725e-001	7.352672e-004
3.412127650661905e-002	4.157621e-001	7.361345e-004
3.416292568274772e-002	4.162380e-001	7.371771e-004
3.418484143120976e-002	4.164884e-001	7.377171e-004
3.420335831611728e-002	4.167000e-001	7.381684e-004
3.420619482709175e-002	4.167324e-001	7.382372e-004
3.421186784904066e-002	4.167972e-001	7.383747e-004
3.422321389293851e-002	4.169268e-001	7.386506e-004
3.423808673178910e-002	4.170966e-001	7.390161e-004
3.425435674795883e-002	4.172825e-001	7.394264e-004
3.427716247016246e-002	4.175429e-001	7.400308e-004
3.430253925678382e-002	4.178326e-001	7.407610e-004
3.433086443117450e-002	4.181560e-001	7.416795e-004
3.436368495904189e-002	4.185306e-001	7.429231e-004
3.440491605850222e-002	4.190011e-001	7.448382e-004
3.445782520397228e-002	4.196047e-001	7.481719e-004
3.451591174667367e-002	4.202672e-001	7.539605e-004
3.456609855212239e-002	4.208394e-001	7.634743e-004
3.462403206292537e-002	4.214996e-001	7.853393e-004
3.468028831664141e-002	4.221406e-001	8.306215e-004
3.475241131423492e-002	4.229621e-001	9.447867e-004
3.483045096543684e-002	4.238505e-001	1.128461e-003
3.483490940161856e-002	4.239012e-001	1.141405e-003
